category_scores/Asymmetric/score,category_scores/Covert/score,category_scores/Deceptive/score,category_scores/Hides Information/score,category_scores/Restrictive/score,overall_assessment/total_score,overall_assessment/max_possible_score,overall_assessment/summary,website,category_scores/Asymmetric/analysis,category_scores/Covert/analysis,category_scores/Deceptive/analysis,category_scores/Hides Information/analysis,category_scores/Restrictive/analysis
7,5,4,6,3,25,50,"The website uses several dark patterns, particularly in the presentation of the cookie consent prompt. Mild covert techniques are used to influence user choices, and information is somewhat obscured but not heavily restricted or deceiving.",IKEA Australia,The 'Ok' button in the cookie consent prompt is more prominent than the 'Cookies Settings' button. This can lead users to quickly accept all cookies without exploring their options.,"The use of the more visually prominent 'Ok' button can subtly influence users to agree to all cookies, which is a mild covert technique.",The information provided is largely accurate but somewhat downplays the implications of accepting all cookies by emphasizing the necessity of cookies for site operation without detailing the extent of data collection for optional cookies.,"While the information about cookie usage is provided, users have to go through additional steps to understand and possibly disable optional cookies. The 'Cookie Settings' option is less prominent.","There are some limitations on user choices concerning cookies, but alternatives are available through the 'Cookies Settings' button."
,,,,,,,,Forty Winks,,,,,
5,7,4,6,3,25,50,"The website uses several dark patterns, mainly in the Covert and Hides Information categories. There is mild bias in the presentation of choices, and some information is presented with subtle influences, such as the use of a countdown timer to create urgency.",Snooze,,,,,
,,,,,,,,Harvey Norman Furniture,,,,,
,,,,,,,,Nick Scali,,,,,
,,,,,,,,Brosa,,,,,
1,1,1,1,1,5,50,"The website's CAPCHA verification process is straightforward and does not employ dark patterns. It ensures the security of the connection without biases, covert manipulation, deception, obscuring information, or restricting user choices.",Temple & Webster,,,,,
6,3,5,7,4,25,50,"The website engages in multiple dark patterns, particularly in the categories of Hides Information and Asymmetric design. The information about the sale is prominent, but critical details like terms and conditions for the discount code are less noticeable.",Interior Secrets,,,,,
6,8,7,9,10,40,50,"The website employs several dark patterns, with very high scores in Restrictive and Hides Information categories. The presentation is noticeably biased, user decisions are heavily manipulated, and crucial information is hidden or only revealed at the last possible moment. Additionally, the website is extremely restrictive in user actions.",Matt Blatt,,,,,
,,,,,,,,Sleeping Duck,,,,,
,,,,,,,,Koala,,,,,
6,4,3,2,5,20,50,"The website employs a few dark patterns, with a notable bias in presenting the email sign-up form prominently. There are some covert design elements subtly influencing the user to sign up. The information is relatively forthcoming with minimal important details hidden. The user is somewhat restricted in their actions, primarily nudged towards providing their email.",Eva,,,,,
0,0,0,0,0,0,50,"The website does not employ dark patterns in the analyzed section. The content is straightforward, transparent, and does not exhibit bias, covert influences, deceptive practices, hidden information, or restrictive choices.",Australia Post,,,,,
3,2,1,1,2,9,50,"The website's captcha verification screen shows minimal use of dark patterns. There's a slight bias in the presentation, but overall, it is relatively straightforward with limited restrictive elements or hidden information.",Redbubble,,,,,
3,5,6,7,4,25,50,"The website employs several dark patterns, particularly in the use of asymmetric design and covert techniques. Some information, including the terms of the discount, is less visible, potentially causing confusion. However, the restrictions on user choices are not overly severe.",Society6,,,,,
,,,,,,,,Etsy Australia,,,,,
7,5,4,6,7,29,50,"The website displays several dark patterns, with notable biases in presentation and some restrictions on user choices. Information is occasionally obscured, and certain actions subtly influence user decisions. The site has an overall moderate level of dark patterns present.",Scoopon,,,,,
0,0,0,0,0,0,50,"The screenshot displays a 'site can't be reached' error message, indicating that the webpage is temporarily down or has moved permanently. There are no elements to evaluate for dark patterns.",Groupon Australia,,,,,
5,4,6,7,5,27,50,"The website employs a moderate number of dark patterns, with the most noticeable issues related to hidden information and mildly restrictive choices. The site also employs some deceptive tactics and asymmetric designs that favor certain actions over others, potentially subtly manipulating user decisions.",DealsDirect,,,,,
,,,,,,,,CrazySales,,,,,
8,7,6,8,9,38,50,"The website employs several dark patterns, with particularly high scores in Restrictive and Asymmetric categories. The user is presented with a blocked message with no clear and immediate options to resolve the issue, leaving their browsing options heavily restricted. Critical information on why the user was blocked is obscured or requires additional steps to decipher.",Kogan Australia,,,,,
,,,,,,,,MyDeal,,,,,
8,6,5,7,9,35,50,"The website employs several dark patterns, with particularly high scores in Asymmetric, Hides Information, and Restrictive categories. The presentation is noticeably biased with limited information provided, creating a restrictive user experience.",Dick Smith Australia,,,,,
6,5,6,7,8,32,50,"The website shows several dark patterns, particularly in the areas of Hides Information and Restrictive categories. The presentation is biased towards certain promotions with crucial information being somewhat obscured or delayed.",The Good Guys Australia,,,,,
6,3,5,7,8,29,50,"The website demonstrates several dark patterns, with particularly high scores in Restrictive and Hides Information categories. The presentation shows a noticeable bias, especially in promoting the exclusive offer for members. Important information regarding the offer's restrictions is present but somewhat obscured in fine print.",JB Hi-Fi Australia,,,,,
3,3,5,6,4,21,50,"The website displays moderate use of dark patterns. There is some asymmetric presentation, mild covert design, some deceptive information, and a moderate amount of hidden information. While not highly restrictive, it does force a security check that users may find inconvenient.",Harvey Norman Australia,,,,,
,,,,,,,,Bing Lee,,,,,
7,4,3,6,3,23,50,"The website demonstrates several dark patterns with a significant focus on asymmetry and hidden information. While the overall presentation is somewhat biased towards certain products, crucial information is relatively concealed and preference is given to highlighted deals, potentially affecting user choices.",Retravision,,,,,
,,,,,,,,Appliances Online Australia,,,,,
,,,,,,,,Big Brown Box,,,,,
3,4,2,5,3,17,50,"The website shows moderate use of dark patterns, with higher scores in Covert and Hides Information categories. The presentation is slightly biased, and certain information requires additional steps to access, but overall, the site offers a fairly straightforward experience.",Winning Appliances,,,,,
6,4,5,7,6,28,50,"The website employs several dark patterns, with particularly high scores in Hides Information and Asymmetric categories. There is a noticeable bias in the presentation of options, and some important information is not readily visible or only available after further navigation.",Gadget City,,,,,
6,4,5,6,7,28,50,"The website employs a number of dark patterns, with particularly high scores in the Asymmetric and Restrictive categories. Important information about pricing, stock availability, and delivery options is somewhat hidden, requiring selection of a specific store. The presentation biases users towards specific choices, and there are some subtle influences present in the design.",Camera House,,,,,
,,,,,,,,Ted's Cameras,,,,,
3,5,3,4,4,19,50,"The website employs a few dark patterns, with particularly noticeable use in the Covert category. The presentation has a mild bias, and some information is slightly delayed or requires additional steps to access. User freedom is somewhat limited but not overly restrictive.",CameraPro,,,,,
,,,,,,,,Digital Camera Warehouse,,,,,
7,4,5,6,5,27,50,"The website shows signs of using some dark patterns, with a particularly high score in the Asymmetric category. There is noticeable bias in the presentation of choices, and some important information might be delayed or obscured. However, there is still a reasonable level of transparency and choice for users.",Georges Cameras,,,,,
,,,,,,,,Andrews Communications,,,,,
5,4,3,5,2,19,50,"The website exhibits some dark patterns, particularly in Asymmetric and Hides Information categories. There is a noticeable bias in the presentation of choices and some important information requires additional steps to access, but overtly deceptive practices and extreme restrictions are minimal.",Radio Parts,,,,,
,,,,,,,,Jaycar,,,,,
,,,,,,,,Altronics,,,,,
6,5,3,4,3,21,50,"The website demonstrates several dark patterns, with a bias towards promoting participation in the review process. There is a noticeable use of time pressure and a bias towards certain actions, although the overall restrictions and misleading elements are moderate.",Element 14,,,,,
,,,,,,,,Core Electronics,,,,,
,,,,,,,,RS Components,,,,,
,,,,,,,,Mouser Electronics,,,,,
6,5,4,5,7,27,50,"The website exhibits several dark patterns, especially in the Asymmetric and Restrictive categories. The CAPTCHA mechanism forces users to perform a specific action that may inconvenience them, biased presentation directs user action, information about why the verification is needed is not fully transparent, and it includes mildly covert design elements.",Digikey,,,,,
4,3,2,6,5,20,50,"The website demonstrates a moderate use of dark patterns. It shows some level of asymmetry in presenting options and subtly influences user decisions. While not overtly deceptive, it does obscure some information, requiring users to proceed through additional steps.",Sparkfun,,,,,
,,,,,,,,Adafruit,,,,,
,,,,,,,,Little Bird Electronics,,,,,
0,0,0,0,0,0,50,"The website is currently unreachable with an error indicating it might be temporarily down or have moved to a new web address. As a result, no dark patterns can be analyzed at this time.",Element 14 Australia,,,,,
,,,,,,,,Arduino Australia,,,,,
,,,,,,,,Microchip,,,,,
1,2,2,3,2,10,50,"The website appears to be straightforward and user-friendly without significant use of dark patterns. Information is presented in a clear manner, and there is an even balance in visual and interactive prominence of choices. There are minimal covert techniques used, and necessary information is readily accessible, with only slight delays observed.",Texas Instruments,,,,,
3,4,2,3,2,14,50,"The website shows a mild use of dark patterns. Asymmetry in design is present but not overly biased, and there are minor covert techniques that may subtly influence user choices. There is no significant misleading information or overly hidden details, and user choices are mostly unrestricted.",Seeed Studio,,,,,
,,,,,,,,Pololu,,,,,
,,,,,,,,RobotShop,,,,,
3,2,1,4,3,13,50,"The website has a relatively low use of dark patterns. The presentation of choices is slightly asymmetric, and some information may require additional steps to access. Overall, the design does not heavily restrict or deceive users.",Robotics Australia,,,,,
,,,,,,,,ServoCity,,,,,
5,4,3,3,2,17,50,"The website shows some tendencies towards dark patterns, with moderately biased presentation and some use of subtle design elements that may influence user choices. Information is generally accessible but could be organized more transparently.",Nuts and Volts,,,,,
,,,,,,,,Make,,,,,
,,,,,,,,Digi-Key Australia,,,,,
,,,,,,,,RS Components Australia,,,,,
