website,category_scores/Asymmetric/iteration_1,category_scores/Covert/iteration_1,category_scores/Deceptive/iteration_1,category_scores/Hides Information/iteration_1,category_scores/Restrictive/iteration_1,overall_assessment/total_score/iteration_1,overall_assessment/max_possible_score,overall_assessment/summary/iteration_1,category_scores/Asymmetric/iteration_2,category_scores/Covert/iteration_2,category_scores/Deceptive/iteration_2,category_scores/Hides Information/iteration_2,category_scores/Restrictive/iteration_2,overall_assessment/total_score/iteration_2,overall_assessment/summary/iteration_2,category_scores/Asymmetric/iteration_3,category_scores/Covert/iteration_3,category_scores/Deceptive/iteration_3,category_scores/Hides Information/iteration_3,category_scores/Restrictive/iteration_3,overall_assessment/total_score/iteration_3,overall_assessment/summary/iteration_3
Ajio,,,,,,,,,7,5,6,8,7,33,"The website demonstrates several dark patterns, with high scores in Hides Information and Asymmetric categories. The presentation is biased towards promoting sales with potentially obscured important details. There is use of covert techniques to subtly influence choices and some restrictions on user freedom.",7,4,6,6,3,26,"The website employs several dark patterns, with particularly high scores in the Asymmetric and Deceptive categories. There is noticeable bias in the presentation of choices, with potentially confusing and misleading information. However, user choices are not overly restricted."
ShopClues,,,,,,,,,,,,,,,,6,4,5,7,5,27,"The website displays several dark patterns, most notably in the Asymmetric and Hides Information categories. There is a noticeable bias in presentation favoring specific actions, and some important information, such as conditions and limitations of offers, may only be fully visible upon further inspection."
BigBasket,,,,,,,,,6,5,7,6,4,28,"The website exhibits several dark patterns. Although choices are somewhat available, the presentation is biased with more prominent promotion of specific deals. Information on discounts can be misleading or incomplete, and some necessary elements are obscured or require additional steps to access.",,,,,,,
Grofers,,,,,,,,,6,7,9,9,8,39,"The website employs a range of dark patterns. Significant asymmetric design, covert attempts to manipulate user perception, and deceptive practices are evident. Crucial information regarding the blocking is hidden, and user choices are notably restricted.",9,4,6,8,10,37,"The website employs several dark patterns, with particularly high scores in Restrictive and Asymmetric categories. The blocking message is extremely restrictive, offering no alternative actions or recourse, and important information regarding the cause of the block is obscured. There is an evident bias in presentation, heavily favoring the outcome that the user is blocked without providing explanatory details or offering appeal options."
Pepperfry,,,,,,,,,6,5,7,6,4,28,"The website displays several dark patterns, particularly in the Deceptive and Asymmetric categories. Sale urgency and highlighted offers subtly manipulate user decisions, while certain important details such as the exact nature of the 'EXTRA Rs. 1500 off' are not immediately clear and might be subject to conditions revealed later in the process.",7,5,4,6,5,27,"The website displays certain dark patterns, particularly biased presentations and obscured information. Additionally, some elements subtly influence user choices, and there are noticeable restrictions on user actions, especially related to promotions and offers."
Nykaa,,,,,,,,,,,,,,,,7,5,6,8,9,35,"The website employs several dark patterns, with particularly high scores in the Restrictive and Hides Information categories. The content is noticeably biased, important information may be obscured, and the user is effectively prevented from accessing the site, making it very restrictive."
Tata Cliq,7,6,8,9,10,40,50,"The website exhibits significant dark patterns. The blocking message is prominently displayed without providing further information or alternatives. This obstructs user choices, manipulates their decision-making covertly, and hides vital information on the reason for being blocked, hence highly restrictive and misleading.",3,6,7,8,9,33,"The website blocking page employs multiple dark patterns, particularly in the Hides Information and Restrictive categories. The message is noticeably restrictive, and necessary information regarding the reason for the block or resolution steps is missing or not transparent.",6,6,7,8,9,36,"The website presents multiple dark patterns, particularly in Restrictive and Hides Information categories. The reason for the block is not transparently communicated, alternative solutions or actions are not provided, and user freedom is significantly restricted."
Lenskart,6,4,3,5,2,20,50,"The website uses some dark patterns, with mild to moderate scores in Asymmetric and Hides Information categories. The presentation is slightly biased towards promoting certain products, and some information might require additional steps to access.",3,2,2,3,1,11,"The website uses a minimal amount of dark patterns. The presentation marginally favors certain products, but choices are generally clear and balanced. There's limited use of covert techniques, and information is mostly transparent. There are few restrictions on user choices.",3,2,2,4,3,14,"The website displays a few dark patterns, particularly in the Hides Information and Asymmetric categories. While the presentation slightly favors certain elements and information is mildly withheld, it is relatively user-friendly without overtly deceptive or restrictive practices."
Reliance Digital,,,,,,,,,7,6,5,5,4,27,"The website utilizes several dark patterns. The 'Yes, Notify me' button is more prominent than the 'No, don't.' button, indicating an asymmetric approach. There are mild covert techniques influencing user's decision for notifications. Information about discounts and 'terms and conditions' are present but not immediately clear, inducing some level of deception. Information is somewhat hidden requiring additional steps and terms are indicated but not fully transparent. The website shows some restrictive patterns but alternatives do exist.",7,6,3,5,4,25,"The website employs several dark patterns, with a particularly high score in the Asymmetric category. There is noticeable bias in presenting options, with covert techniques influencing user actions. Some information is delayed or hidden, but the restrictions are not excessively severe."
Croma,6,5,7,7,4,29,50,"The website displays several dark patterns, with notable scores in Asymmetric and Deceptive categories. Presentation is biased towards promoting sales, and important details such as the terms and conditions are likely obscured or not immediately visible.",,,,,,,,,,,,,,
Dunzo,3,5,4,6,3,21,50,"The website contains a few dark patterns, but not excessively so. The presentation is mildly biased, with some alternative choices less prominent. There is slight covert influence on user decisions, and information related to terms and conditions is somewhat obscured. The website does not heavily restrict user choices.",,,,,,,,6,5,7,6,4,28,"The website displays multiple dark patterns with a notably biased presentation of options. Important information is present but often requires additional steps to access. There are some manipulative design elements subtly influencing user decisions, and some information might be misleading, emphasizing urgency and benefits without thorough disclosure of conditions."
Shopclues,,,,,,,,,6,4,5,7,6,28,"The website displays a moderate level of dark patterns. There is a bias towards certain choices, and important information may be obscured or revealed late in the process. The design slightly influences user decisions covertly, and there are some restrictions on user options.",,,,,,,
Jabong,0,0,0,0,0,0,50,"The webpage couldn't be reached due to an HTTP protocol error. Since the webpage is not available, no dark patterns can be analyzed.",,,,,,,,,,,,,,
Naaptol,6,5,7,6,4,28,50,"The website employs several dark patterns. The presentation is noticeably biased towards the offer, with the high discount aggressively promoted. Some information, such as the terms of the discount, might be obscured. While there are limitations on choices, alternatives are available but not prominently displayed.",,,,,,,,,,,,,,
Craftsvilla,,,,,,,,,6,5,5,8,7,31,"The website employs several dark patterns. It notably hides information during the loading process, assumes user decisions subtly, and restricts choices with a somewhat biased presentation. Information may be obscured or delayed during navigation.",,,,,,,
Fynd,,,,,,,,,,,,,,,,6,3,4,5,4,22,"The website demonstrates some dark patterns, particularly in the Asymmetric and Hides Information categories. The presentation slightly favors certain actions, and some information requires additional steps to access or is less prominent. However, the overall level of dark patterns is moderate."
FirstCry,6,5,4,5,4,24,50,"The website exhibits several dark patterns, particularly in the Asymmetric category. Information is sometimes hidden or requires additional steps to access, and the design subtly influences user choices.",,,,,,,,5,3,4,6,2,20,"The website presents a mild use of dark patterns, particularly in the areas of Hides Information and Asymmetric categories. While there is a noticeable bias in choices and some hidden information, the site does not heavily restrict user actions or heavily employ covert techniques."
Mamas & Papas,,,,,,,,,7,5,3,6,2,23,"The website employs several dark patterns, with a notably biased presentation in the cookies consent pop-up and information slightly hidden. The overall design subtly influences user choices but doesn’t heavily restrict or completely deceive users.",6,4,5,7,2,24,"The website employs several dark patterns, with notably high scores in the Asymmetric and Hides Information categories. The cookie consent prompt is biased towards 'Accept All Cookies', while information and settings for cookies are less prominent. The level of covert and restrictive patterns is relatively low, indicating some transparency towards user choices."
BabyOye,6,3,5,5,3,22,50,"The website features several dark patterns, but these are moderately implemented. The asymmetric display slightly favors promotional content, and some details, such as extra GST charges on discounted prices and delivery timelines, are not immediately transparent but are available upon further action.",6,4,5,6,5,26,"The website has some notable dark patterns, particularly in the categories of Asymmetric and Hides Information. The design appears to prioritize certain actions over others, and some details like additional GST charges may not be immediately apparent.",6,4,5,7,5,27,"The website employs several dark patterns. The presentation is noticeably biased towards promotional content, and important information about additional charges and delivery timelines is somewhat obscured. The use of specific phrases to invoke urgency and reduced transparency in certain areas are of concern."
Hopscotch,,,,,,,,,,,,,,,,,,,,,,
Zivame,,,,,,,,,,,,,,,,,,,,,,
Clovia,,,,,,,,,,,,,,,,6,5,7,6,4,28,"The website employs a number of dark patterns, notably in the areas of Deceptive and Hiding Information. The design demonstrates a biased presentation favoring certain actions and promotions, and some information about offers and deals could be clearer."
PrettyLittleThing,8,6,3,5,7,29,50,"The website employs various dark patterns, particularly noticeable in the Asymmetric, Covert, and Restrictive categories. The cookie consent banner is biased towards accepting all cookies, and important information about cookie usage is somewhat obscured and requires additional steps to access.",,,,,,,,,,,,,,
Boohoo,8,6,5,7,4,30,50,"The website employs several dark patterns, with high scores in Asymmetric and Hides Information categories. The presentation is noticeably biased, making the 'Accept All' option more prominent than 'Let Me Choose', and some information is partially hidden or delayed in access.",7,5,4,6,5,27,"The website displays several dark patterns. The 'Accept All' option for cookies is more visually prominent than the 'Let Me Choose' option, indicating asymmetry. There is some use of covert design elements, as the positioning and emphasis may subtly influence user choices. While the information is not wholly deceptive, it has some elements that are not completely transparent. Important information about cookie options may be more complex to access, indicating some obfuscation. The user has some freedom in choices, but the design does subtly steer them towards certain actions.",6,5,4,6,5,26,"The website employs several dark patterns with a notable emphasis on asymmetry and hiding information. The cookie consent options are designed to make 'Accept All' the more prominent choice, and some information regarding cookie usage is not immediately obvious, requiring additional interaction."
Shein,,,,,,,,,7,5,4,6,6,28,"The website employs several dark patterns, particularly in Asymmetric and Hides Information categories. The design choices create a biased presentation towards signing up, with essential details delayed or less emphasized. Although influential, the patterns are not overly restrictive.",,,,,,,
ASDA,,,,,,,,,,,,,,,,7,5,5,6,8,31,"The website utilizes multiple dark patterns. The presentation is notably asymmetric, subtly influencing users to accept cookies, while essential information on data processing is somewhat obscured. The interface imposes considerable restrictions on user actions, nudging towards data acceptance."
Marks & Spencer,6,5,4,6,3,24,50,"The website employs several dark patterns, with particularly noticeable scores in the Asymmetric and Hides Information categories. The presentation shows a preferential bias toward accepting all cookies, and important information, such as specifics about cookie usage, is somewhat obscured.",7,5,3,6,4,25,"The website employs several dark patterns, particularly in the Asymmetric and Hides Information categories. The cookie consent interface shows noticeable bias towards accepting all cookies, and some information is delayed or requires additional steps to access.",6,4,5,7,4,26,"The website displays some dark patterns, especially in the Asymmetric and Hides Information categories. The presentation of the cookie choices is biased towards accepting all cookies, while managing and rejecting cookies is less prominent. Information on cookie usage is present but could be clearer and more accessible."
John Lewis,,,,,,,,,0,0,0,0,0,0,"The webpage cannot be reached, and therefore it is not possible to analyze for dark patterns in its current state.",0,0,0,0,0,0,"The webpage cannot be reached, and thus no dark patterns can be detected or evaluated at this time."
Next,,,,,,,,,6,4,5,7,3,25,"The website employs some dark patterns, most notably in the Asymmetric and Hides Information categories. The cookie consent form presents biased options, with the accept all cookies button more prominently placed and worded more positively. Some information is obscured or requires additional steps to access, but it is not overly restrictive in terms of user choices.",6,4,4,5,3,22,"The website employs some dark patterns, particularly in the Asymmetric and Hides Information categories. The options presented are slightly biased toward accepting all cookies, with the 'Reject All Cookies' option less visually prominent."
Argos,,,,,,,,,,,,,,,,0,0,0,9,9,18,"The website is largely restrictive and highly obfuscates crucial information, as access is completely denied without any alternative course of action or additional information being provided. This creates a highly limiting and opaque user experience."
Tesco,0,0,0,0,0,0,50,"The website cannot be accessed, hence no dark patterns are present in this screenshot.",0,0,0,0,0,0,"The website cannot be reached, and no dark patterns can be assessed based on the error message displayed.",0,0,0,0,0,0,"The webpage cannot be reached, hence no dark patterns can be assessed or detected from this page."
Sainsbury's,8,2,2,9,9,30,50,The website employs dark patterns with particularly high scores in Restrictive and Hides Information categories. Access is completely restricted without providing any useful information or alternatives to the user.,,,,,,,,0,2,0,6,9,17,"The website demonstrates a couple of dark patterns, with especially high scores in the Restrictive and Hides Information categories. The 'Access Denied' page restricts access without explanation, indicating a hidden or missing information component."
Ocado,,,,,,,,,,,,,,,,,,,,,,
Waitrose,0,0,0,0,0,0,50,"The website is not accessible due to an ERR_HTTP2_PROTOCOL_ERROR. As a result, no dark patterns can be identified or analyzed from the provided screenshot.",0,0,0,0,0,0,The website is currently unreachable and cannot be assessed for dark patterns at this time.,0,0,0,0,0,0,"The website cannot be reached due to a network or protocol error, so no dark patterns can be assessed."
Morrisons,,,,,,,,,,,,,,,,6,5,4,7,3,25,"The website employs some dark patterns, especially in the Asymmetric and Hides Information categories. The presentation of cookie preferences and user options is somewhat biased and important information, while available, is not immediately clear."
Boots,5,4,5,6,3,23,50,"The website employs several dark patterns, though none are particularly extreme. The cookie consent dialogue shows some bias towards accepting cookies, and information about settings and declining options is less prominent. While there is some level of manipulation and hidden information, overall, the practices are moderately problematic.",,,,,,,,,,,,,,
Superdrug,0,0,0,0,0,0,50,"The website is currently unreachable due to a protocol error. Therefore, no dark patterns could be evaluated or detected.",0,0,0,0,0,0,"The website cannot be accessed; thus, there are no dark patterns to analyze. The webpage might be temporarily down or its address might have changed.",,,,,,,
Carrefour,7,6,5,6,5,29,50,"The website uses several dark patterns, with higher scores in the Asymmetric and Covert categories. The cookie consent options are designed in a way that makes accepting all cookies more prominent and appealing than the alternatives, and important information regarding cookie settings is not immediately clear.",8,5,6,7,7,33,"The website employs several dark patterns, with particularly high scores in Asymmetric and Hides Information categories. The options are noticeably biased, with the 'Accept All Cookies' button more prominent than 'Cookies Settings'. Additionally, important information about cookies is not immediately obvious or fully detailed, and user choices are somewhat restricted and covertly influenced.",,,,,,,
Auchan,,,,,,,,,,,,,,,,,,,,,,
Lidl,6,5,4,7,4,26,50,"The website exhibits moderate use of dark patterns. The presentation is somewhat biased towards signing in or joining for a better experience, important information is delayed or requires additional steps to access, and some design elements subtly influence user choices.",6,4,5,7,6,28,"The website utilizes various dark patterns, particularly in the form of asymmetric designs and hiding information. The 'join' button for a personalized experience is more prominently displayed, pushing towards login or account creation. The information about the store location can be somewhat misleading since it's specific to a certain location without earlier clarification. The cookie setting choices, while present, use a design that subtly nudges towards acceptance.",5,6,4,6,4,25,"The website employs some dark patterns, particularly in the Covert and Hides Information categories. There is a slight bias in presentation and some crucial information is delayed or requires additional steps to access."
Aldi,,,,,,,,,,,,,,,,2,2,2,3,2,11,"The website presents information in a fairly straightforward and transparent manner with minimal use of dark patterns. The necessary information is generally available, with a slight delay for some legal or privacy notices."
IKEA India,,,,,,,,,6,3,5,4,2,20,"The website employs several dark patterns with noticeable biases in cookie consent presentation. Options are somewhat asymmetrical, with a preference towards accepting all cookies. Information on cookies is available but requires an additional step to access.",,,,,,,
Big W,,,,,,,,,0,0,0,0,0,0,"The website is not accessible due to an error (ERR_HTTP2_PROTOCOL_ERROR), and therefore, no dark patterns can be evaluated. Possible causes include the site being temporarily down or having moved to a different address.",5,4,3,6,2,20,"The website demonstrates some use of dark patterns, notably in the Hides Information and Asymmetric categories. While the design is somewhat balanced, certain options are less prominently displayed. Important information, such as delivery options, requires additional steps to access. Overall restrictions on user choices are minimal, but elements of covert influence are present."
Target Australia,,,,,,,,,0,0,0,0,0,0,"The website is currently unreachable due to a 'ERR_HTTP2_PROTOCOL_ERROR'. Therefore, no dark patterns can be assessed at this time.",,,,,,,
David Jones,6,5,4,7,3,25,50,"The website exhibits some dark patterns, particularly in Asymmetric presentation and Hides Information categories. The alternative choices are somewhat less intuitive, and some important details are obscured or require further steps to access.",6,3,5,4,2,20,"The website shows some mild use of dark patterns. There is a noticeable bias in the presentation of offers, but alternative choices are still visible. There are slight covert influences and mild deception, but overall user choices are fairly transparent. Some information may be delayed or require additional steps to access.",6,5,4,5,3,23,"The website employs modest dark patterns primarily in the Asymmetric and Covert categories. Visual emphasis on sales and promotions is noticeable, potentially influencing user decisions. Some information might require further exploration to be fully understood. Overall, user choices are mildly guided towards specific actions."
Harvey Norman,,,,,,,,,2,4,5,6,5,22,"The website uses some dark patterns, particularly in the Hides Information and Covert categories. Although necessary information is listed, some elements may subtly influence user decisions. The security check is explicit but may be perceived as somewhat restrictive and potentially misleading without more detailed context.",2,2,5,6,7,22,"The website employs moderate dark patterns, particularly in the Hides Information and Restrictive categories. The security check is somewhat necessary but may restrict and slightly obscure user actions due to the invasive nature of the check."
JB Hi-Fi,7,5,6,8,7,33,50,"The website exhibits several dark patterns, especially in the areas of Hides Information and Asymmetric presentation. The offer requires the user to spend a significant amount to receive a discount that comes with many restrictions, and crucial details are found in fine print or require additional steps to be accessed.",,,,,,,,6,4,3,7,2,22,"The website exhibits a moderate use of dark patterns, notably skewed towards hiding information and asymmetrical presentation. While most necessary information is available, some critical details are obscured or require extra steps to unveil. The design mildly manipulates user choice and presents information in a biased manner, although it is not overly restrictive or deceptive."
Dick Smith,,,,,,,,,9,7,5,6,9,36,"The website employs several dark patterns, with particularly high scores in Asymmetric, Covert, and Restrictive categories. The presentation is extremely biased as the user is blocked without clear recourse, and important information is somewhat hidden or only revealed under specific conditions.",8,7,5,9,10,39,"The website heavily relies on dark patterns, particularly in Restrictive and Hides Information categories. Users are automatically blocked with limited explanation, and crucial information on how to resolve the issue is difficult to find, creating a very restrictive and frustrating experience."
The Iconic,,,,,,,,,,,,,,,,1,1,2,1,3,8,"The webpage primarily employs a CAPTCHA verification to ensure the user is not a bot. It is straightforward and transparent, with minimal use of dark patterns. The only slightly restrictive element is the necessity for the CAPTCHA completion before proceeding, otherwise, information is not hidden, and there are no deceptive or covert design elements."
Catch,6,5,4,7,3,25,50,"The website employs various dark patterns. The presentation shows a noticeable bias, with some elements subtly influencing choices. Information is available but some crucial details are not immediately clear.",6,5,4,7,6,28,"The website employs several dark patterns with medium scores in Asymmetric, Hides Information, and Restrictive categories. The promotion and subscription options are somewhat biased and crucial offer terms might not be immediately clear.",,,,,,,
Kmart Australia,5,3,2,4,2,16,50,"The website demonstrates some use of dark patterns, particularly in being mildly biased in presentation and somewhat hiding information. However, it is not overtly deceptive or restrictive, and user choices are relatively free.",,,,,,,,4,3,2,5,2,16,"The website contains mild to moderate instances of dark patterns. There is some asymmetry in the prominence of different sections, and certain information, while available, might require additional steps to locate. There are minor covert elements, but overall, the design is fairly straightforward with few restrictive practices."
Myer,5,3,4,6,3,21,50,"The website shows signs of dark patterns, but to a lesser extent. There is some mild biased presentation, notably in the arrangement of product categories, and some information may not be immediately clear, particularly regarding the details on the delivery policy.",3,2,1,4,2,12,"The website shows mild use of dark patterns. The presentation is somewhat biased, information is occasionally delayed or requires additional steps to access, and minor restrictions are present but some alternatives are available.",,,,,,,
Kogan,,,,,,,,,,,,,,,,8,6,5,9,10,38,"The website utilizes several dark patterns, particularly in Restrictive and Hides Information categories, which lead to a highly restrictive and opaque user experience. There is a noticeable bias in presentation, and significant information is obscured or omitted."
eBay Australia,,,,,,,,,3,6,5,7,4,25,"The website shows some use of dark patterns, particularly in the Covert and Hides Information categories. While the options are presented mostly symmetrically, there is some misleading information and hidden details about the promotion.",,,,,,,
Woolworths,,,,,,,,,,,,,,,,,,,,,,
Chemist Warehouse,,,,,,,,,,,,,,,,,,,,,,
Bunnings,,,,,,,,,1,2,1,3,3,10,"The website mostly adheres to ethical design practices with low scores in dark patterns. The only minor issues detected are related to information being slightly delayed or requiring additional steps to access, and a minor restriction in user choices due to the necessity of completing a CAPTCHA. Overall, it presents transparent and straightforward information with minimal bias.",1,2,1,5,3,12,"The website uses some light dark patterns. The primary issue is hiding information, as the CAPTCHA verification step may be perceived as an unnecessary barrier to access the site directly. However, most other categories score low, indicating a generally transparent and fair user experience."
Rebel Sport,,,,,,,,,,,,,,,,,,,,,,
Supercheap Auto,6,5,4,7,3,25,50,"The website uses several dark patterns, notably in the 'Hides Information' and 'Asymmetric' categories. The design is somewhat biased towards certain actions and some important information tends to be delayed or less accessible. Deceptive practices present but less pronounced, and there are relatively few restrictions on choice.",,,,,,,,7,5,4,6,3,25,The website employs several mild dark patterns. The presentation is somewhat biased with a noticeable sense of urgency communicated through layout and wording. Important information about the promotion is partially obscured but present. The options for user action appear slightly limited.
Bunnings,2,1,2,2,1,8,50,"The website does not employ significant dark patterns. The verification process is straightforward and transparent, with necessary information readily available. There is minimal bias, deception, or restriction in user choices.",,,,,,,,,,,,,,
Big W,0,0,0,0,0,0,50,"The website can't be reached, hence no dark patterns can be assessed or detected from the current page.",0,0,0,0,0,0,"The website is currently inaccessible and returns a 'site can't be reached' error, indicating it might be temporarily down or have moved permanently. No dark patterns can be assessed from the provided image.",,,,,,,
Dan Murphy's,2,0,0,6,10,18,50,The website essentially blocks access without providing any further information. The most prominent issues are restrictive access and the hiding of potentially important information regarding the block.,9,8,7,9,10,43,"The website exhibits significant dark patterns, primarily in the Restrictive and Hides Information categories. Blocking access is a highly asymmetric and restrictive approach, likely without clear or detailed reasoning, thereby covertly influencing user behavior and hiding essential information.",5,4,4,7,9,29,"The website employs several dark patterns, with particularly high scores in Restrictive and Hides Information categories. The blocked access message is somewhat asymmetric and covert, with important information obscured or missing. User choices are notably restricted by blocking access outright."
Liquorland,5,6,5,7,8,31,50,"The website exhibits several dark patterns. The choices presented are somewhat biased with an emphasis placed on the suggested CAPTCHA solution. It contains covert design elements that subtly manipulate the user's actions, such as implying bot-like behavior without substantial evidence. The information provided is minimally deceptive as it lacks clear explanation or fair closure for a user who may not understand why they're being flagged. Notably, access to the site is considerably restrictive, requiring the completion of an additional task with no clear alternative pathways.",,,,,,,,6,7,5,6,8,32,"The website employs several dark patterns, particularly in the Covert and Restrictive categories. The captcha and bot detection mechanism, while sometimes necessary for security, does restrict user access significantly and utilizes some covert techniques to obscure user choices and actions."
Aesop,,,,,,,,,,,,,,,,,,,,,,
Mecca,,,,,,,,,,,,,,,,,,,,,,
Typo,,,,,,,,,5,6,4,4,5,24,"The website demonstrates several mild to moderate dark patterns. The most notable are subtle influences on user choices and some asymmetric design elements, including a highly prominent login prompt. There's also a slight tendency to obscure information and moderate restrictions on user actions.",,,,,,,
Cotton On,6,5,4,7,4,26,50,"The website presents several dark patterns. The login and sign-up options are slightly more prominent, making other navigation slightly less intuitive. Information about the offer is clear but could be considered mildly restrictive and covert due to the emphasis on logging in or signing up without initially displaying full offer terms.",6,3,5,6,4,24,"The website demonstrates some dark patterns, with higher scores in Asymmetric and Hides Information categories. Alternative choices are noticeably less prominent, and some information requires additional steps for access.",,,,,,,
Jay Jays,,,,,,,,,6,5,5,7,8,31,"The website exhibits several dark patterns, particularly in the categories of Restrictive and Hides Information. The presentation is biased, leading to restricted user actions, and significant information is obscured or delayed.",7,5,5,6,8,31,"The website employs several dark patterns, with high scores in Asymmetric, Hides Information, and Restrictive categories. The presentation is biased, potentially covertly influencing user decisions, hiding some information, and imposing notable restrictions on user actions."
Typo,,,,,,,,,5,3,4,6,5,23,"The website employs moderate dark patterns, particularly in Hides Information category. Some design elements subtly influence user choices and certain information about offers and conditions could be clearer.",6,5,7,6,7,31,"The website displays several dark patterns, particularly noticeable in the Asymmetric, Deceptive, and Restrictive categories. Choices such as promotions and login encouragement are prominently displayed, possibly influencing user decisions. Important information is occasionally obscured or delayed in presentation, affecting user experience."
Supre,,,,,,,,,6,3,5,7,8,29,"The website uses several dark patterns, with particularly high scores in Restrictive and Hides Information categories. The design presents login and sign-up options prominently to lure users into creating accounts, and important information like terms and conditions is less visible.",,,,,,,
The Good Guys,7,6,5,7,4,29,50,"The website employs several dark patterns, with higher scores in Asymmetric and Hides Information categories. The presentation shows biased elements favoring promotional offers and certain products. Important information like details of offers may be obscured or require extra steps to access.",,,,,,,,,,,,,,
Appliances Online,,,,,,,,,4,3,2,4,2,15,"The website employs some mild dark patterns, with a slightly biased presentation in favor of 'Hot Offers' and some information that may require additional steps to access. However, there are limited restrictions on user choices, and no significant deceptive or covert techniques are evident.",3,4,5,5,3,20,"The website displays mild use of dark patterns, with some elements leaning towards asymmetric and covert designs. It features options prominently but slightly favors certain choices. Information is presented in a straightforward manner, though some details may require additional steps to access."
Autobarn,3,2,1,4,6,16,50,"The website appears relatively straightforward with an access denial page, but there are some restrictive elements that prevent users from accessing the content. There is a mild bias in the presentation of choices and some obscured information regarding why access was specifically denied, but it is not heavily deceptive.",,,,,,,,2,1,2,3,9,17,"The error page primarily scores low in terms of dark patterns, except for being restrictive regarding user access to the site. Information and choices are straightforward and not misleading, although some details could be clearer."
Spotlight,,,,,,,,,8,4,5,7,6,30,"The website exhibits several dark patterns, with a high score in the Asymmetric and Hides Information categories. The presentation is noticeably biased, offering prominent visuals to certain choices while some essential information is obscured or delayed. There are moderate restrictions on user actions.",,,,,,,
Anaconda,,,,,,,,,7,5,6,8,7,33,"The website employs several dark patterns, with particularly high scores in Hides Information and Asymmetric categories. The presentation is noticeably biased, important information about the sale and consent is obscured or presented late in the process, and user choices are somewhat restricted.",6,7,5,6,4,28,"The website exhibits several dark patterns. The cookie consent banner is particularly prominent with a single 'Continue' button which subtly encourages compliance, indicative of both asymmetric and covert categories. Information about cookies is available but requires additional steps to access, affecting the Hides Information score. While not extremely restrictive, there are certain elements limiting immediate choices."
Macpac,3,4,2,4,3,16,50,"The website has minor use of dark patterns, with the most notable in the Asymmetric and Hides Information categories. The choices presented are mildly biased and some information requires extra steps to access.",6,3,2,5,4,20,"The website exhibits noticeable but moderate use of dark patterns. The choice prompts are somewhat asymmetrically designed, potentially guiding users more towards the default option. Information is not significantly hidden, though some delays could exist. Restrictions on choices present but relatively mild. Overall, the website uses some manipulative elements but remains mostly user-friendly.",3,4,2,2,3,14,"The website employs a minimal level of dark patterns. The choices presented for switching between regional sites are mildly biased but remain fairly transparent. The information is clear, and user choices are not significantly restricted."
Kathmandu,7,3,4,6,5,25,50,"The website employs some dark patterns, notably in the Asymmetric and Hides Information categories. The design presents options in a biased way, making the 'Accept All Cookies' button more prominent, while hiding more detailed settings behind another click.",7,6,5,7,4,29,"The website employs several dark patterns, particularly in the Asymmetric, Covert, and Hides Information categories. The choice to accept cookies is prominently displayed compared to the cookie settings option, subtly influencing user decisions. Furthermore, some information is less immediately accessible, creating a bias towards certain choices.",8,6,4,7,5,30,"The website uses several dark patterns, with a particularly high score in the Asymmetric category. The 'Accept All Cookies' button is prominently displayed compared to the 'Cookies Settings' button, which is designed to nudge users towards accepting all cookies. There are also covert elements that subtly influence user decisions. While some information is hidden in the privacy statement and not immediately apparent, the restrictions are moderate, which limits user choices but still offers some alternatives."
Mountain Designs,,,,,,,,,,,,,,,,7,5,4,6,5,27,"The website utilizes several dark patterns to influence user behavior. There is a noticeable bias in presentation favoring certain choices, with some information being obscured or revealed late in the user experience. The cookie consent notice is more prominent and encourages compliance without equally visible alternatives for dismissing or exploring options."
BCF,6,5,7,4,3,25,50,"The website employs several dark patterns, with noticeable scores in Asymmetric and Deceptive categories. The sale timer adds a sense of urgency that may influence user choice. However, information seems to be somewhat accessible, though there are mild restrictions and some elements are covertly influencing user decisions.",4,5,5,6,3,23,"The website employs several dark patterns, with moderately high scores in Covert and Hides Information categories. The presentation is slightly biased with some subtle influences in user decisions and important information may require additional steps to access.",,,,,,,
Torpedo7,,,,,,,,,3,2,1,5,6,17,"The website displays minimal use of dark patterns overall, but there are some issues. There is a slightly biased presentation in terms of asymmetric options. The covert techniques are minor, with a barely noticeable influence on user choice. Deceptive elements are almost absent. Some information may be somewhat hidden or less immediately available. The restriction on user choices is mild, with some limitations but alternatives are still accessible.",,,,,,,
Katmandu,5,4,6,7,3,25,50,"The website employs several mild dark patterns. While it is not excessively deceptive or restrictive, it is somewhat asymmetrical and hides some relevant information. The listings for related searches can be misleading, and important details about domain availability are not immediately clear.",,,,,,,,2,5,7,8,6,28,"The website exhibits several dark patterns, particularly in the Deceptive and Hides Information categories. The presentation is somewhat biased, and important information is obscured or lacking transparency. The site also restricts user choices to some extent, but not severely."
Bonds,,,,,,,,,8,6,5,7,7,33,"The website prominently employs several dark patterns, especially in the Asymmetric and Hides Information categories. The presentation is quite biased towards encouraging sign-ups for the rewards program and obscures essential information which may affect user decisions.",5,6,4,7,3,25,"The website uses some dark patterns, especially in the categories of Hides Information and Covert tactics. The sign-up for rewards is presented prominently, which may subtly influence user decisions. Some information is obscured and requires additional steps to access. However, it is not extremely restrictive in terms of user choices."
