category_scores/Asymmetric/score,category_scores/Covert/score,category_scores/Deceptive/score,category_scores/Hides Information/score,category_scores/Restrictive/score,overall_assessment/total_score,overall_assessment/max_possible_score,overall_assessment/summary,website
9,5,2,8,10,34,50,"The website employs several dark patterns. The presentation is extremely biased, notably asymmetric, and very restrictive as it completely blocks access. Important information about why the user is blocked is not readily available, although it appears to be straightforward. Thus, it scores higher in hiding information and restrictiveness categories.",Forty Winks
6,7,3,2,4,22,50,"The website exhibits several dark patterns, particularly in the Asymmetric and Covert categories. The emphasis on the countdown timer creates a sense of urgency, potentially prompting users to make quick decisions. However, there is no significant use of deceptive information or hiding critical information.",Snooze
,,,,,,,,Harvey Norman Furniture
4,6,5,6,3,24,50,"The website demonstrates moderate use of dark patterns, with particular emphasis on covert techniques and hiding information. Some information is delayed or requires additional steps to access, and there is noticeable use of design elements to subtly influence user behavior. The site is not overly restrictive, but some bias in presentation and information access is observed.",Nick Scali
8,7,6,9,9,39,50,"The website heavily employs dark patterns, particularly in the Hides Information and Restrictive categories. The presentation is asymmetric and covert, leading to a notably misleading and restrictive user experience. Users are blocked without clear reasons, and crucial information on how to resolve the issue is obscured.",Brosa
1,2,2,1,4,10,50,"The website does not employ significant dark patterns. The main interaction is straightforward and required for security verification, causing minimal user inconvenience or manipulation.",Temple & Webster
,,,,,,,,Interior Secrets
9,6,7,8,9,39,50,"The website heavily employs dark patterns, particularly in the Asymmetric, Hides Information, and Restrictive categories. The user's choices are extremely limited and biased towards preventing access, with key information about the blocking criteria obscured.",Matt Blatt
6,5,4,7,3,25,50,"The website showcases notable use of dark patterns. It has a noticeably biased presentation with choices that are not equally prominent, some subtle design influences, and important information that may be somewhat obscured or delayed. However, there are fewer restrictions in user choices, and the information presented is not completely deceptive.",Sleeping Duck
3,2,2,4,2,13,50,"The website has a generally user-friendly layout with mild dark patterns. There is a slight bias in the asymmetry of options, and some information requires additional steps to access. However, the overall level of dark patterns is relatively low.",Koala
6,5,3,7,8,29,50,"The website uses several dark patterns, particularly in the Asymmetric, Hides Information, and Restrictive categories. The sign-up prompt is prominently displayed, requiring the user to provide their email to continue, imposing notable restrictions on the user's ability to navigate the website without providing personal information.",Eva
1,1,1,1,1,5,50,"The website appears transparent and straightforward in its presentation. Information is readily available, and user choices are clear and unrestricted. There are no significant indicators of dark patterns on this page.",Australia Post
2,0,0,0,3,5,50,"The website shows minimal use of dark patterns. The options are fairly balanced without misleading or hidden information. There is a slight restriction in forcing users to verify their humanity before proceeding, but this is standard for security protocols.",Redbubble
,,,,,,,,Society6
8,7,6,9,9,39,50,"The website employs several dark patterns, notably in Restrictive and Hides Information categories. The block message is asymmetric, offering no clear or equal alternatives to pursue further action. It covertly influences user perception of the situation by providing vague reasoning and no detailed options for resolution. Critical information about the actual cause and steps to resolve the block are hidden, creating a highly restrictive experience.",Etsy Australia
8,5,6,7,9,35,50,"The website exhibits several dark patterns, predominantly in the Restrictive, Asymmetric, and Hides Information categories. The user interface strongly favors signing up or logging in, with crucial information potentially obscured and user choices limited.",Scoopon
0,0,0,0,0,0,50,"The website is currently not accessible due to a protocol error, therefore no dark patterns can be evaluated at this time.",Groupon Australia
0,0,0,0,0,0,50,"The provided image does not display any elements of a website that can be analyzed for dark patterns. Hence, no dark patterns were detected in this analysis.",DealsDirect
5,3,5,6,4,23,50,"The website employs moderate levels of dark patterns, with notable emphasis on hiding information and partial deceptive elements. Though choices are available, there is a tendency toward mildly biased presentation and some covert techniques.",CrazySales
,,,,,,,,Kogan Australia
,,,,,,,,MyDeal
,,,,,,,,Dick Smith Australia
,,,,,,,,The Good Guys Australia
7,5,6,8,7,33,50,"The website exhibits several dark patterns, with particularly high scores in Hides Information and Asymmetric categories. The promotion seems biased towards enticing users to join the membership program, with key terms and exclusions presented in smaller, less noticeable text. The information about exclusions and conditions for the $30 off coupon is somewhat obscured, and the offer is restrictive, applying only to certain products and requiring membership.",JB Hi-Fi Australia
3,1,2,4,6,16,50,"The website employs some dark patterns but to a limited extent. The most notable issue is the restriction requiring users to solve a CAPTCHA, which imposes a minor barrier. There is mild asymmetry in the presentation, but the information is mostly transparent and not misleading.",Harvey Norman Australia
7,6,6,9,9,37,50,"The website employs several dark patterns, with particularly high scores in Hides Information and Restrictive categories. There is considerable asymmetric presentation and covert influence aimed at obscuring the reasons for the block. The information given is somewhat deceptive and obscures the true nature of the restriction.",Bing Lee
7,4,5,6,4,26,50,"The website uses several dark patterns, notably in the Asymmetric category, where the presentation is noticeably biased toward promoting specific offers. Covert techniques are mildly present, with some elements designed to influence users subtly. Information is somewhat hidden, with promotional details and exclusions in small text.",Retravision
,,,,,,,,Appliances Online Australia
3,5,4,6,2,20,50,"The website shows a few dark patterns, particularly in the Hides Information category. While the asymmetry and covert categories have moderate scores, the deceptive elements are also present but milder. The site does not highly restrict user choices.",Big Brown Box
3,2,2,4,2,13,50,"The website generally maintains transparency and balance in presenting information and choices to users. Although there is some delay in accessing further information and mild bias in the presentation of options, dark patterns are not prominently employed. The user experience appears largely straightforward with minimal restrictions.",Winning Appliances
,,,,,,,,Gadget City
,,,,,,,,Camera House
,,,,,,,,Ted's Cameras
,,,,,,,,CameraPro
4,3,5,6,2,20,50,"The website displays some dark patterns, particularly in the Hides Information and Deceptive categories. There is a slight bias in presentation and some information is not immediately clear. However, there are no strong restrictions on user choices, and overall the manipulation techniques used are relatively mild.",Digital Camera Warehouse
,,,,,,,,Georges Cameras
5,5,2,8,7,27,50,"The warning page employs some dark patterns. 'Hides Information' scores high since information on bypassing the page is buried under the 'Advanced' button. The 'Restrictive' score is notable as user choices are geared towards going 'Back to safety'. The presentation is moderately biased towards not proceeding further and includes subtle influence through security warnings without misleading information, leading to moderate 'Asymmetric' and 'Covert' scores.",Andrews Communications
,,,,,,,,Radio Parts
,,,,,,,,Jaycar
4,3,5,7,6,25,50,"The website uses several dark patterns, with moderate scores across multiple categories. There is a noticeable bias in the presentation of choices, some hidden information, and certain restrictions forcing users to act in specific ways.",Altronics
,,,,,,,,Element 14
,,,,,,,,Core Electronics
,,,,,,,,RS Components
,,,,,,,,Mouser Electronics
,,,,,,,,Digikey
2,3,3,2,7,17,50,"The website employs a few dark patterns, primarily in the Restrictive category. Users have limited freedom in their choices as they must complete the 'security check' to proceed. The presentation is mostly straightforward with minor covert and deceptive elements but is not heavily biased or hiding crucial information.",Sparkfun
,,,,,,,,Adafruit
,,,,,,,,Little Bird Electronics
0,0,0,0,0,0,50,"The website cannot be reached, therefore no dark patterns are detected or assessed. This may be a temporary issue or the website may have moved permanently to a new address.",Element 14 Australia
,,,,,,,,Arduino Australia
,,,,,,,,Microchip
2,1,1,2,0,6,50,"The website employs minimal dark patterns. Choices appear symmetrical and transparent, with no notable use of deceptive or covert techniques. Information is readily available and there are no significant restrictions on user actions.",Texas Instruments
,,,,,,,,Seeed Studio
3,2,2,2,2,11,50,"The website has minimal use of dark patterns. While there is slight emphasis on the sale with a large banner, other information and navigation options are readily accessible. The design is largely straightforward and does not employ significant manipulative techniques.",Pololu
,,,,,,,,RobotShop
,,,,,,,,Robotics Australia
,,,,,,,,ServoCity
4,3,2,5,2,16,50,"The website employs a few dark patterns, primarily in the areas of Asymmetric design and Hiding Information. Some options or alternatives might be less prominently displayed, and certain information requires additional navigation steps to access.",Nuts and Volts
5,4,6,5,7,27,50,"The popup contains several dark patterns. The presentation mildly biases the user's actions, employs some subtle influencing techniques, and contains elements that could be considered misleading. It partially hides information and imposes certain restrictive choices on the user.",Make
,,,,,,,,Digi-Key Australia
4,3,4,5,2,18,50,"The website has mild utilization of dark patterns with bias in choice presentation and some hidden information or misleading elements, though not heavily manipulative or restrictive.",RS Components Australia
